Sitio	Tipo_F	Punto_Inicial	Fecha	Visita	Hora_I	Hora_F	Especie	Comportamiento	Sustrato	Distancia	DistanciaBosque	Sexo	Deteccion	Observador	Observaciones
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			20	45		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	PSAWAG			50	0		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	AULPRA			10	-10		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	ZENASI			12	-10		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	ZENASI			12	-10		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	ZENASI			12	-10		Visual	DM	
F10	DAI	DAIC	25/5/2022	1	740	750	MELAUR			12	-6		Visual	DM	
F22	DAI	DAIB	25/5/2022	1	852	858	Ninguna							DM	
F8	DAI	DAIC	27/5/2022	1	700	707	Ninguna							DM	
F7	DAI	DAIB	27/5/2022	1	817	823	DIVDIV						Song	DM	
F7	DAI	DAIB	27/5/2022	1	817	823	DIVDIV						Song	DM	
F54	DAI	DAIB	3/6/2022	1	1044	1052	PSIMOR			5	-45		Visual	DM	
F54	DAI	DAIB	3/6/2022	1	1044	1052	PSIMOR			60	5		Visual	DM	
F54	DAI	DAIB	3/6/2022	1	1044	1052	PSIMOR	Volando						DM	
F1	DAI	DAIB	3/5/2022	1	738	745	Ninguna							DM	
F15	DAI	DAIC	3/5/2022	1	629	634	Ninguna							DM	
F4	DAI	DAIC	1/6/2022	1	801	812	ELAFOR	Volando						DM	
F4	DAI	DAIC	1/6/2022	1	801	812	HYLLEU			1	28			DM	
F4	DAI	DAIC	1/6/2022	1	801	812	DIVDIV			45	20			DM	
F4	DAI	DAIC	1/6/2022	1	801	812	MELAUR			40	-2			DM	
F4	DAI	DAIC	1/6/2022	1	801	812	MOMLES						Song	DM	
F13	DAI	DAIB	3/5/2022	1	1038	1045	Ninguna							DM	
F24	DAI	DAIB	3/5/2022	1	920	928	AMAALB			20			Visual	DM	
F24	DAI	DAIB	3/5/2022	1	920	928	AMAALB			20			Visual	DM	
F24	DAI	DAIB	3/5/2022	1	920	928	AMAALB			20			Visual	DM	
F24	DAI	DAIB	3/5/2022	1	920	928	AMAALB			20			Visual	DM	
F21	DAI	DAIC	31/5/2022	1	741	750	Ninguna							DM	
F23	DAI	DAIC	30/5/2022	1	709	720	GLABRA			15	45		Visual	DM	
F23	DAI	DAIC	30/5/2022	1	709	720	ICTCHR			18	28		Visual	DM	
F23	DAI	DAIC	30/5/2022	1	709	720	ICTCHR			18	28		Visual	DM	
F54	DAI	DAIC	27/5/2022	1	1019	1027	Ninguna							DM	
F33	DAI	DAIB	8/6/2022	1	655	701	DIVDIV			49			Song	DM	
F33	DAI	DAIB	8/6/2022	1	655	701	DIVDIV			20			Song	DM	
F33	DAI	DAIB	7/6/2022	1	1313	1323	RAMSUL			50			Song	DM	
F33	DAI	DAIB	7/6/2022	1	1313	1323	MOMLES			60			Song	DM	
F33	DAI	DAIB	7/6/2022	1	1313	1323	ELAFOR	Volando					Visual	DM	
F33	DAI	DAIB	7/6/2022	1	1313	1323	ELAFOR	Volando					Visual	DM	
F33	DAI	DAIB	7/6/2022	1	1313	1323	ELAFOR	Volando					Visual	DM	
